catalog,catalog_object_id,object_name,source_id,designation,ra,dec,ra_error,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,bp_g,g_rp,phot_bp_rp_excess_factor,radial_velocity,radial_velocity_error,rv_nb_transits,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,ag_gspphot,ebpminrp_gspphot
Gaia DR3,3902903753300361600,Gaia DR3 3902903753300361600,3902903753300361600,Gaia DR3 3902903753300361600,188.4171703984435,9.17760845845828,0.35663065,0.26200402,0.10157405362254895,0.41557997,1.2453396151091156,0.5028766,-5.853670393394002,0.41180968,0.9229014,272.5957002633042,1.2221692,19.59857,198.74811291387687,17.100863,19.592785,429.8387787644823,32.99688,18.16463,1.428154,-0.0057849884,1.433939,2.305931,,,,,,,,,
Gaia DR3,3902903718940647936,Gaia DR3 3902903718940647936,3902903718940647936,Gaia DR3 3902903718940647936,188.41515703192422,9.174166536107016,3.021579,3.476528,,,,,,,,54.914170245765106,1.9815546,21.338156,237.7470035987305,28.533316,19.398254,706.7490499006709,47.235706,17.624733,1.7735214,-1.9399014,3.7134228,17.199495,,,,,,,,,
Gaia DR3,3902903718940838016,Gaia DR3 3902903718940838016,3902903718940838016,Gaia DR3 3902903718940838016,188.40955011033617,9.170542452268432,0.8077939,0.61531335,1.3792657604402527,0.970467,-11.726872600039478,1.1579,-22.93226106859929,0.87013847,1.0081981,99.80615426215111,0.9327919,20.689474,93.17309064333409,18.944992,20.415316,187.56647273730346,21.624866,19.065008,1.3503075,-0.27415848,1.624466,2.8128483,,,,,,,,,
