catalog,catalog_object_id,object_name,ra,dec,objID,objName,raMean,decMean,raMeanErr,decMeanErr,nDetections,ng,nr,ni,nz,ny,gMeanPSFMag,gMeanPSFMagErr,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr,yMeanPSFMag,yMeanPSFMagErr,gMeanKronMag,gMeanKronMagErr,rMeanKronMag,rMeanKronMagErr,iMeanKronMag,iMeanKronMagErr,zMeanKronMag,zMeanKronMagErr,yMeanKronMag,yMeanKronMagErr,gMeanApMag,gMeanApMagErr,rMeanApMag,rMeanApMagErr,iMeanApMag,iMeanApMagErr,zMeanApMag,zMeanApMagErr,yMeanApMag,yMeanApMagErr
Pan-STARRS1 DR2 MeanObject,119011884204766722,PSO J188.4204+09.1801,188.42036110802496,9.18014490582367,119011884204766722,PSO J188.4204+09.1801,188.42036110802496,9.18014490582367,0.0017090914220962,0.0017090914220962,63,19,20,21,3,0,18.996999740600582,0.0960159972310066,18.995399475097656,0.1046930029988288,18.8981990814209,0.083694003522396,20.978099822998047,0.161761999130249,-999.0,-999.0,14.474499702453612,0.0201500002294778,13.899299621582031,0.2110289931297302,14.977499961853027,0.22325499355793,14.987299919128418,0.004751999862492,-999.0,-999.0,17.559999465942383,0.0574080012738704,17.20669937133789,0.0550969988107681,17.1471004486084,0.0484890006482601,17.393299102783203,0.161761999130249,-999.0,-999.0
Pan-STARRS1 DR2 MeanObject,119011884207026365,PSO J188.4207+09.1799,188.42070254,9.17990823,119011884207026365,PSO J188.4207+09.1799,188.42070254,9.17990823,-999.0,-999.0,1,0,1,0,0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,15.649399757385254,0.0056230002082884,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Pan-STARRS1 DR2 MeanObject,119011884207128195,PSO J188.4207+09.1814,188.42070872,9.18143764,119011884207128195,PSO J188.4207+09.1814,188.42070872,9.18143764,0.0479400008916854,0.0479400008916854,1,0,0,0,0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.68180084228516,0.0455319993197917,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.40749931335449,0.1113710030913353,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.221200942993164,0.0455319993197917
Pan-STARRS1 DR2 MeanObject,119011884207207618,PSO J188.4207+09.1809,188.42068151,9.18093216,119011884207207618,PSO J188.4207+09.1809,188.42068151,9.18093216,0.0228899996727705,0.0228899996727705,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,18.82080078125,0.0172959994524717,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.35300064086914,0.0189369991421699,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.38999938964844,0.0172959994524717,-999.0,-999.0,-999.0,-999.0
Pan-STARRS1 DR2 MeanObject,119011884207297223,PSO J188.4207+09.1806,188.42072944,9.18062277,119011884207297223,PSO J188.4207+09.1806,188.42072944,9.18062277,-999.0,-999.0,2,2,0,0,0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,15.410799980163574,0.0503930002450943,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Pan-STARRS1 DR2 MeanObject,119011884208286828,PSO J188.4208+09.1803,188.42083532,9.18031747,119011884208286828,PSO J188.4208+09.1803,188.42083532,9.18031747,0.0151000004261732,0.0151000004261732,4,1,3,0,0,0,18.03019905090332,0.0156280007213354,18.09779930114746,1.999999994950485e-06,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,16.96969985961914,0.0156280007213354,18.223899841308597,0.1834200024604797,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Pan-STARRS1 DR2 MeanObject,119011884215341458,PSO J188.4215+09.1758,188.42149435,9.17580123,119011884215341458,PSO J188.4215+09.1758,188.42149435,9.17580123,0.0196000002324581,0.0196000002324581,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,18.62569999694824,0.0126229999586939,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.9375,0.0191810000687837,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.27949905395508,0.0126229999586939,-999.0,-999.0,-999.0,-999.0
Pan-STARRS1 DR2 MeanObject,119011884215862317,PSO J188.4215+09.1765,188.42154676,9.176517,119011884215862317,PSO J188.4215+09.1765,188.42154676,9.176517,0.0192699991166591,0.0192699991166591,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,18.49020004272461,0.0120900003239512,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.169700622558597,0.0240940004587173,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.45439910888672,0.0120900003239512,-999.0,-999.0,-999.0,-999.0
Pan-STARRS1 DR2 MeanObject,119011884223530702,PSO J188.4223+09.1752,188.42231686,9.17517654,119011884223530702,PSO J188.4223+09.1752,188.42231686,9.17517654,0.1901299953460693,0.1901299953460693,1,0,0,0,0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.27890014648437,0.1895419955253601,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.529600143432617,0.1046189963817596,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.0713005065918,0.1895419955253601
Pan-STARRS1 DR2 MeanObject,119011884227710633,PSO J188.4227+09.1751,188.42270845,9.17510925,119011884227710633,PSO J188.4227+09.1751,188.42270845,9.17510925,0.2474000006914138,0.2474000006914138,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,21.07719993591309,0.2469419986009597,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.84499931335449,0.1706729978322982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.84569931030273,0.2469419986009597,-999.0,-999.0,-999.0,-999.0
Pan-STARRS1 DR2 MeanObject,119011884228791384,PSO J188.4228+09.1759,188.42279897,9.17588015,119011884228791384,PSO J188.4228+09.1759,188.42279897,9.17588015,3.6226999759674072,3.6226999759674072,2,0,0,0,2,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,24.19770050048828,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.850500106811523,0.0760480016469955,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.62350082397461,3.622659921646118,-999.0,-999.0
Pan-STARRS1 DR2 MeanObject,119011884229441990,PSO J188.4229+09.1763,188.42293033,9.17627222,119011884229441990,PSO J188.4229+09.1763,188.42293033,9.17627222,0.2247299998998642,0.2247299998998642,1,0,0,0,1,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.95439910888672,0.2242320030927658,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.839399337768555,0.2242320030927658,-999.0,-999.0
Pan-STARRS1 DR2 MeanObject,119021884160320382,PSO J188.4160+09.1832,188.41598396,9.18324858,119021884160320382,PSO J188.4160+09.1832,188.41598396,9.18324858,0.2416699975728988,0.2416699975728988,1,0,0,0,0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.053800582885746,0.2411990016698837,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.640899658203125,0.1473399996757507,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.981000900268555,0.2411990016698837
Pan-STARRS1 DR2 MeanObject,119001884124296464,PSO J188.4124+09.1716,188.41238986577204,9.171593062204542,119001884124296464,PSO J188.4124+09.1716,188.41238986577204,9.171593062204542,0.0062215336581313,0.0062215336581313,5,4,1,0,0,0,19.580699920654297,0.0502189993858337,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,14.451899528503418,0.0040270001627504,13.509900093078612,0.002424000063911,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.13479995727539,0.0443020015954971,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Pan-STARRS1 DR2 MeanObject,119001884124661442,PSO J188.4125+09.1675,188.41247719,9.16745688,119001884124661442,PSO J188.4125+09.1675,188.41247719,9.16745688,0.0010000000474974,0.0010000000474974,0,0,0,0,0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Pan-STARRS1 DR2 MeanObject,119001884125054387,PSO J188.4125+09.1699,188.41250558,9.16992662,119001884125054387,PSO J188.4125+09.1699,188.41250558,9.16992662,-999.0,-999.0,1,0,0,0,0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,14.557299613952637,0.0061559998430311,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Pan-STARRS1 DR2 MeanObject,119001884125245167,PSO J188.4126+09.1704,188.41258222929224,9.170488206682796,119001884125245167,PSO J188.4126+09.1704,188.41258222929224,9.170488206682796,0.0039872046328085,0.0039872046328085,14,1,2,7,2,2,19.55900001525879,0.0186260007321834,20.21269989013672,0.0960289984941482,18.502599716186523,0.0628739967942237,19.17690086364746,7.000000096013537e-06,17.957500457763672,0.0271310005336999,14.402199745178224,0.0021840000990778,16.846399307250977,0.0204760003834962,14.472999572753906,0.0185170006006956,13.788200378417969,2.099999983329326e-05,18.068199157714844,0.0784810036420822,18.079200744628903,0.0186260007321834,18.32539939880371,0.0960289984941482,16.907100677490234,0.0899349972605705,17.328800201416016,7.000000096013537e-06,18.084199905395508,0.0271310005336999
Pan-STARRS1 DR2 MeanObject,119001884126296898,PSO J188.4126+09.1720,188.41262946,9.17201872,119001884126296898,PSO J188.4126+09.1720,188.41262946,9.17201872,-999.0,-999.0,1,0,0,0,1,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,15.622400283813477,0.0134699996560812,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
